State,District,Market,Commodity,Variety,Arrival_Qty,Min_Price,Max_Price,Modal_Price,Date
Maharashtra,Pune,Pune,Onion,Local,1166,1760,2095,1978,01-01-2024
Maharashtra,Latur,Latur,Wheat,Local,526,2141,2569,2427,01-01-2024
Maharashtra,Latur,Latur,Cotton,Local,1486,6523,7908,7096,01-01-2024
Uttar Pradesh,Varanasi,Varanasi,Sugarcane,Local,376,2940,3298,3139,01-01-2024
Uttar Pradesh,Agra,Agra,Rice,Local,739,1897,2419,2129,01-01-2024
Uttar Pradesh,Kanpur,Kanpur,Onion,Local,1286,1648,2093,1858,01-01-2024
Punjab,Patiala,Patiala,Wheat,Local,1180,2336,2671,2464,01-01-2024
Punjab,Ludhiana,Ludhiana,Maize,Local,1232,2152,2628,2331,01-01-2024
Punjab,Amritsar,Amritsar,Rice,Local,642,2076,2516,2350,01-01-2024
Haryana,Hisar,Hisar,Cotton,Local,808,6455,7560,6982,01-01-2024
Haryana,Karnal,Karnal,Wheat,Local,1377,2136,2696,2377,01-01-2024
Haryana,Hisar,Hisar,Rice,Local,384,2060,2577,2310,01-01-2024
Madhya Pradesh,Indore,Indore,Soybean,Local,519,4468,5328,4758,01-01-2024
Madhya Pradesh,Gwalior,Gwalior,Chickpea,Local,1211,5217,6066,5745,01-01-2024
Madhya Pradesh,Ujjain,Ujjain,Wheat,Local,1366,2070,2555,2262,01-01-2024
Gujarat,Rajkot,Rajkot,Groundnut,Local,1247,5809,6784,6319,01-01-2024
Gujarat,Surat,Surat,Cotton,Local,333,6530,7694,7192,01-01-2024
Gujarat,Surat,Surat,Maize,Local,363,2057,2486,2205,01-01-2024
Rajasthan,Kota,Kota,Wheat,Local,1008,2138,2601,2357,01-01-2024
Rajasthan,Kota,Kota,Soybean,Local,1443,4265,5268,4642,01-01-2024
Rajasthan,Jodhpur,Jodhpur,Chickpea,Local,1362,5172,6137,5491,01-01-2024
Andhra Pradesh,Vijayawada,Vijayawada,Rice,Local,589,1904,2412,2163,01-01-2024
Andhra Pradesh,Guntur,Guntur,Maize,Local,1330,2042,2363,2230,01-01-2024
Andhra Pradesh,Kurnool,Kurnool,Turmeric,Local,815,9579,11173,10463,01-01-2024
Karnataka,Bangalore,Bangalore,Tomato,Local,679,2129,2596,2398,01-01-2024
Karnataka,Hubli,Hubli,Chickpea,Local,225,5249,6329,5575,01-01-2024
Karnataka,Bangalore,Bangalore,Maize,Local,307,1949,2464,2203,01-01-2024
Tamil Nadu,Madurai,Madurai,Onion,Local,483,1792,2072,1904,01-01-2024
Tamil Nadu,Madurai,Madurai,Maize,Local,867,2027,2433,2184,01-01-2024
Tamil Nadu,Chennai,Chennai,Rice,Local,297,2008,2418,2205,01-01-2024
West Bengal,Kolkata,Kolkata,Rice,Local,501,1941,2256,2107,01-01-2024
West Bengal,Hooghly,Hooghly,Potato,Local,114,990,1147,1071,01-01-2024
Bihar,Gaya,Gaya,Wheat,Local,1219,2015,2422,2205,01-01-2024
Bihar,Patna,Patna,Rice,Local,243,1889,2248,2069,01-01-2024
Maharashtra,Pune,Pune,Chickpea,Local,1373,5420,6466,5822,15-01-2024
Maharashtra,Nashik,Lasalgaon,Jowar,Local,273,3049,3675,3275,15-01-2024
Maharashtra,Nagpur,Nagpur,Potato,Local,425,1054,1221,1149,15-01-2024
Uttar Pradesh,Meerut,Meerut,Sugarcane,Local,153,2917,3411,3102,15-01-2024
Uttar Pradesh,Lucknow,Lucknow,Rice,Local,534,2099,2510,2215,15-01-2024
Uttar Pradesh,Lucknow,Lucknow,Wheat,Local,170,2078,2565,2274,15-01-2024
Punjab,Bathinda,Bathinda,Cotton,Local,916,6583,7682,7042,15-01-2024
Punjab,Amritsar,Amritsar,Wheat,Local,1236,2152,2717,2389,15-01-2024
Punjab,Ludhiana,Ludhiana,Rice,Local,1079,2084,2600,2358,15-01-2024
Haryana,Hisar,Hisar,Wheat,Local,531,2214,2642,2502,15-01-2024
Haryana,Karnal,Karnal,Maize,Local,1267,2055,2338,2181,15-01-2024
Haryana,Hisar,Hisar,Rice,Local,1120,2102,2549,2312,15-01-2024
Madhya Pradesh,Ujjain,Ujjain,Soybean,Local,664,4166,5097,4590,15-01-2024
Madhya Pradesh,Indore,Indore,Wheat,Local,988,2127,2410,2281,15-01-2024
Madhya Pradesh,Indore,Indore,Chickpea,Local,764,4848,5817,5417,15-01-2024
Gujarat,Surat,Surat,Groundnut,Local,1302,5886,6984,6273,15-01-2024
Gujarat,Ahmedabad,Ahmedabad,Cotton,Local,1408,6474,7684,6986,15-01-2024
Gujarat,Surat,Surat,Maize,Local,269,2031,2421,2283,15-01-2024
Rajasthan,Jodhpur,Jodhpur,Wheat,Local,1348,2193,2519,2358,15-01-2024
Rajasthan,Jaipur,Jaipur,Chickpea,Local,154,5087,6415,5668,15-01-2024
Rajasthan,Jaipur,Jaipur,Soybean,Local,733,4490,5045,4787,15-01-2024
Andhra Pradesh,Kurnool,Kurnool,Turmeric,Local,69,9537,11301,10382,15-01-2024
Andhra Pradesh,Kurnool,Kurnool,Maize,Local,1167,1987,2387,2110,15-01-2024
Andhra Pradesh,Kurnool,Kurnool,Rice,Local,311,2102,2428,2283,15-01-2024
Karnataka,Mysore,Mysore,Chickpea,Local,260,5336,6396,5964,15-01-2024
